เขต ,พรรค,คะแนน,Tag,พรรคที่ชนะ,สส.แบ่งเขต 
ภูเก็ต เขต 2,ภูมิใจไทย,2400,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 2,พรรคไทยรักษาชาติ,1120,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 2,เสรีรวมไทย,2300,แพ้ขาด,ประชาธิปัตย์,0
ภูเก็ต เขต 2,รวมพลังประชาชาติไทย,1150,แพ้ขาด,ประชาธิปัตย์,0
มุกดาหาร เขต 1,เพื่อไทย,35000,ชนะขาด,เพื่อไทย,1
มุกดาหาร เขต 1,ประชาธิปัตย์,10000,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 1,พลังประชารัฐ,5600,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 1,อนาคตใหม่,7300,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 1,ภูมิใจไทย,3400,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 1,พรรคไทยรักษาชาติ,3000,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 1,เสรีรวมไทย,3000,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 1,รวมพลังประชาชาติไทย,3000,แพ้ขาด,เพื่อไทย,0
มุกดาหาร เขต 2,เพื่อไทย,17000,สูสี,อนาคตใหม่,0
มุกดาหาร เขต 2,ประชาธิปัตย์,16000,สูสี,อนาคตใหม่,0
มุกดาหาร เขต 2,พลังประชารัฐ,4500,แพ้ขาด,อนาคตใหม่,0
มุกดาหาร เขต 2,อนาคตใหม่,17300,สูสี,อนาคตใหม่,1
มุกดาหาร เขต 2,ภูมิใจไทย,5000,แพ้ขาด,อนาคตใหม่,0
มุกดาหาร เขต 2,พรรคไทยรักษาชาติ,15900,สูสี,อนาคตใหม่,0
มุกดาหาร เขต 2,เสรีรวมไทย,4000,แพ้ขาด,อนาคตใหม่,0
มุกดาหาร เขต 2,รวมพลังประชาชาติไทย,4000,แพ้ขาด,อนาคตใหม่,0
ลำพูน เขต 1,เพื่อไทย,43000,ชนะขาด,เพื่อไทย,1
ลำพูน เขต 1,ประชาธิปัตย์,9600,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 1,พลังประชารัฐ,5600,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 1,อนาคตใหม่,7300,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 1,ภูมิใจไทย,3400,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 1,พรรคไทยรักษาชาติ,3000,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 1,เสรีรวมไทย,3000,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 1,รวมพลังประชาชาติไทย,3000,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,เพื่อไทย,34000,ชนะขาด,เพื่อไทย,1
ลำพูน เขต 2,ประชาธิปัตย์,5600,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,พลังประชารัฐ,4000,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,อนาคตใหม่,3499,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,ภูมิใจไทย,4854,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,พรรคไทยรักษาชาติ,576,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,เสรีรวมไทย,4958,แพ้ขาด,เพื่อไทย,0
ลำพูน เขต 2,รวมพลังประชาชาติไทย,4570,แพ้ขาด,เพื่อไทย,0
สตูล เขต 1,เพื่อไทย,9600,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 1,ประชาธิปัตย์,20000,ชนะขาด,ประชาธิปัตย์,1
สตูล เขต 1,พลังประชารัฐ,4500,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 1,อนาคตใหม่,6759,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 1,ภูมิใจไทย,4759,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 1,พรรคไทยรักษาชาติ,2940,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 1,เสรีรวมไทย,5730,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 1,รวมพลังประชาชาติไทย,5850,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,เพื่อไทย,4400,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,ประชาธิปัตย์,28000,ชนะขาด,ประชาธิปัตย์,1
สตูล เขต 2,พลังประชารัฐ,5760,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,อนาคตใหม่,5860,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,ภูมิใจไทย,3570,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,พรรคไทยรักษาชาติ,8590,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,เสรีรวมไทย,4500,แพ้ขาด,ประชาธิปัตย์,0
สตูล เขต 2,รวมพลังประชาชาติไทย,5880,แพ้ขาด,ประชาธิปัตย์,0
อำนาจเจริญ เขต 1,เพื่อไทย,25000,ชนะขาด,เพื่อไทย,1
อำนาจเจริญ เขต 1,ประชาธิปัตย์,11000,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 1,พลังประชารัฐ,7800,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 1,อนาคตใหม่,9570,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 1,ภูมิใจไทย,4730,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 1,พรรคไทยรักษาชาติ,4857,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 1,เสรีรวมไทย,4856,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 1,รวมพลังประชาชาติไทย,4947,แพ้ขาด,เพื่อไทย,0
อำนาจเจริญ เขต 2,เพื่อไทย,11000,สูสี,พลังประชารัฐ,0
อำนาจเจริญ เขต 2,ประชาธิปัตย์,10500,สูสี,พลังประชารัฐ,0
อำนาจเจริญ เขต 2,พลังประชารัฐ,12000,สูสี,พลังประชารัฐ,1
อำนาจเจริญ เขต 2,อนาคตใหม่,11500,สูสี,พลังประชารัฐ,0
อำนาจเจริญ เขต 2,ภูมิใจไทย,6700,แพ้ขาด,พลังประชารัฐ,0
อำนาจเจริญ เขต 2,พรรคไทยรักษาชาติ,9900,สูสี,พลังประชารัฐ,0
อำนาจเจริญ เขต 2,เสรีรวมไทย,5466,แพ้ขาด,พลังประชารัฐ,0
อำนาจเจริญ เขต 2,รวมพลังประชาชาติไทย,989,แพ้ขาด,พลังประชารัฐ,0
อุตรดิตถ์ เขต 1,เพื่อไทย,44000,ชนะขาด,เพื่อไทย,1
อุตรดิตถ์ เขต 1,ประชาธิปัตย์,10000,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 1,พลังประชารัฐ,5000,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 1,อนาคตใหม่,4590,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 1,ภูมิใจไทย,4658,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 1,พรรคไทยรักษาชาติ,320,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 1,เสรีรวมไทย,4756,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 1,รวมพลังประชาชาติไทย,459,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,เพื่อไทย,28000,ชนะขาด,เพื่อไทย,1
อุตรดิตถ์ เขต 2,ประชาธิปัตย์,5000,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,พลังประชารัฐ,9000,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,อนาคตใหม่,2200,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,ภูมิใจไทย,9900,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,พรรคไทยรักษาชาติ,5467,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,เสรีรวมไทย,5667,แพ้ขาด,เพื่อไทย,0
อุตรดิตถ์ เขต 2,รวมพลังประชาชาติไทย,1279,แพ้ขาด,เพื่อไทย,0
อุทัยธานี เขต 1,เพื่อไทย,14900,สูสี,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 1,ประชาธิปัตย์,4500,แพ้ขาด,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 1,พลังประชารัฐ,4500,แพ้ขาด,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 1,อนาคตใหม่,4500,แพ้ขาด,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 1,ภูมิใจไทย,4500,แพ้ขาด,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 1,พรรคไทยรักษาชาติ,15000,สูสี,พรรคไทยรักษาชาติ,1
อุทัยธานี เขต 1,เสรีรวมไทย,5677,แพ้ขาด,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 1,รวมพลังประชาชาติไทย,4665,แพ้ขาด,พรรคไทยรักษาชาติ,0
อุทัยธานี เขต 2,เพื่อไทย,15000,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,ประชาธิปัตย์,9600,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,พลังประชารัฐ,7800,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,อนาคตใหม่,4500,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,ภูมิใจไทย,7090,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,พรรคไทยรักษาชาติ,3320,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,เสรีรวมไทย,1200,แพ้ขาด,รวมพลังประชาชาติไทย,0
อุทัยธานี เขต 2,รวมพลังประชาชาติไทย,36000,ชนะขาด,รวมพลังประชาชาติไทย,1
จันทบุรี เขต 1,เพื่อไทย,9900,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 1,ประชาธิปัตย์,12000,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 1,พลังประชารัฐ,4000,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 1,อนาคตใหม่,5090,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 1,ภูมิใจไทย,33000,ชนะขาด,ภูมิใจไทย,1
จันทบุรี เขต 1,พรรคไทยรักษาชาติ,560,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 1,เสรีรวมไทย,1200,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 1,รวมพลังประชาชาติไทย,4455,แพ้ขาด,ภูมิใจไทย,0
จันทบุรี เขต 2,เพื่อไทย,33000,ชนะขาด,เพื่อไทย,1
จันทบุรี เขต 2,ประชาธิปัตย์,4500,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 2,พลังประชารัฐ,7900,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 2,อนาคตใหม่,5555,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 2,ภูมิใจไทย,8760,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 2,พรรคไทยรักษาชาติ,8576,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 2,เสรีรวมไทย,4859,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 2,รวมพลังประชาชาติไทย,890,แพ้ขาด,เพื่อไทย,0
จันทบุรี เขต 3,เพื่อไทย,11200,แพ้ขาด,ประชาธิปัตย์,0
จันทบุรี เขต 3,ประชาธิปัตย์,28000,ชนะขาด,ประชาธิปัตย์,1
จันทบุรี เขต 3,พลังประชารัฐ,5674,แพ้ขาด,ประชาธิปัตย์,0
จันทบุรี เขต 3,อนาคตใหม่,4756,แพ้ขาด,ประชาธิปัตย์,0
จันทบุรี เขต 3,ภูมิใจไทย,4574,แพ้ขาด,ประชาธิปัตย์,0
จันทบุรี เขต 3,พรรคไทยรักษาชาติ,998,แพ้ขาด,ประชาธิปัตย์,0
จันทบุรี เขต 3,เสรีรวมไทย,6674,แพ้ขาด,ประชาธิปัตย์,0
จันทบุรี เขต 3,รวมพลังประชาชาติไทย,8465,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,เพื่อไทย,6577,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,ประชาธิปัตย์,23000,ชนะขาด,ประชาธิปัตย์,1
ชุมพร เขต 1,พลังประชารัฐ,7650,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,อนาคตใหม่,1550,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,ภูมิใจไทย,4090,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,พรรคไทยรักษาชาติ,6700,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,เสรีรวมไทย,7900,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 1,รวมพลังประชาชาติไทย,8490,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,เพื่อไทย,4500,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,ประชาธิปัตย์,45000,ชนะขาด,ประชาธิปัตย์,1
ชุมพร เขต 2,พลังประชารัฐ,11233,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,อนาคตใหม่,1550,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,ภูมิใจไทย,4090,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,พรรคไทยรักษาชาติ,6700,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,เสรีรวมไทย,7900,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 2,รวมพลังประชาชาติไทย,5460,แพ้ขาด,ประชาธิปัตย์,0
ชุมพร เขต 3,เพื่อไทย,7788,แพ้ขาด,เสรีรวมไทย,0
ชุมพร เขต 3,ประชาธิปัตย์,24000,แพ้ขาด,เสรีรวมไทย,0
