รหัสพรรค,ชื่อเขต,รหัสเขต,ชื่อพรรค,เปอร์เซ็น/คะแนน,ภูมิภาค
000,ชัยนาท เขต2,A1002,บัตรเสีย,10,กลาง
888,ชัยนาท เขต2,A1002,ไม่ใช่สิทธิ์ลงคะแนน,0,กลาง
999,บึงกาฬ เขต1,A1101,บัตรดี,,ตะวันออกเฉียงเหนือ
034,บึงกาฬ เขต1,A1101,เพื่อไทย,13,ตะวันออกเฉียงเหนือ
001,บึงกาฬ เขต1,A1101,ประชาธิปัตย์,12,ตะวันออกเฉียงเหนือ
192,บึงกาฬ เขต1,A1101,พลังประชารัฐ,9,ตะวันออกเฉียงเหนือ
177,บึงกาฬ เขต1,A1101,อนาคตใหม่,7,ตะวันออกเฉียงเหนือ
063,บึงกาฬ เขต1,A1101,ภูมิใจไทย,6,ตะวันออกเฉียงเหนือ
077,บึงกาฬ เขต1,A1101,พรรคไทยรักษาชาติ,8,ตะวันออกเฉียงเหนือ
145,บึงกาฬ เขต1,A1101,เสรีรวมไทย,20,ตะวันออกเฉียงเหนือ
181,บึงกาฬ เขต1,A1101,รวมพลังประชาชาติไทย,13,ตะวันออกเฉียงเหนือ
000,บึงกาฬ เขต1,A1101,บัตรเสีย,5,ตะวันออกเฉียงเหนือ
888,บึงกาฬ เขต1,A1101,ไม่ใช่สิทธิ์ลงคะแนน,7,ตะวันออกเฉียงเหนือ
999,บึงกาฬ เขต2,A1102,บัตรดี,,ตะวันออกเฉียงเหนือ
034,บึงกาฬ เขต2,A1102,เพื่อไทย,15,ตะวันออกเฉียงเหนือ
001,บึงกาฬ เขต2,A1102,ประชาธิปัตย์,15,ตะวันออกเฉียงเหนือ
192,บึงกาฬ เขต2,A1102,พลังประชารัฐ,8,ตะวันออกเฉียงเหนือ
177,บึงกาฬ เขต2,A1102,อนาคตใหม่,9,ตะวันออกเฉียงเหนือ
063,บึงกาฬ เขต2,A1102,ภูมิใจไทย,11,ตะวันออกเฉียงเหนือ
077,บึงกาฬ เขต2,A1102,พรรคไทยรักษาชาติ,8,ตะวันออกเฉียงเหนือ
145,บึงกาฬ เขต2,A1102,เสรีรวมไทย,16,ตะวันออกเฉียงเหนือ
181,บึงกาฬ เขต2,A1102,รวมพลังประชาชาติไทย,9,ตะวันออกเฉียงเหนือ
000,บึงกาฬ เขต2,A1102,บัตรเสีย,6,ตะวันออกเฉียงเหนือ
888,บึงกาฬ เขต2,A1102,ไม่ใช่สิทธิ์ลงคะแนน,3,ตะวันออกเฉียงเหนือ
999,แพร่ เขต1,A1201,บัตรดี,,เหนือ
034,แพร่ เขต1,A1201,เพื่อไทย,11,เหนือ
001,แพร่ เขต1,A1201,ประชาธิปัตย์,5,เหนือ
192,แพร่ เขต1,A1201,พลังประชารัฐ,8,เหนือ
177,แพร่ เขต1,A1201,อนาคตใหม่,7,เหนือ
063,แพร่ เขต1,A1201,ภูมิใจไทย,13,เหนือ
077,แพร่ เขต1,A1201,พรรคไทยรักษาชาติ,19,เหนือ
145,แพร่ เขต1,A1201,เสรีรวมไทย,5,เหนือ
181,แพร่ เขต1,A1201,รวมพลังประชาชาติไทย,16,เหนือ
000,แพร่ เขต1,A1201,บัตรเสีย,13,เหนือ
888,แพร่ เขต1,A1201,ไม่ใช่สิทธิ์ลงคะแนน,3,เหนือ
999,แพร่ เขต2,A1202,บัตรดี,,เหนือ
034,แพร่ เขต2,A1202,เพื่อไทย,10,เหนือ
001,แพร่ เขต2,A1202,ประชาธิปัตย์,9,เหนือ
192,แพร่ เขต2,A1202,พลังประชารัฐ,13,เหนือ
177,แพร่ เขต2,A1202,อนาคตใหม่,8,เหนือ
063,แพร่ เขต2,A1202,ภูมิใจไทย,19,เหนือ
077,แพร่ เขต2,A1202,พรรคไทยรักษาชาติ,8,เหนือ
145,แพร่ เขต2,A1202,เสรีรวมไทย,5,เหนือ
181,แพร่ เขต2,A1202,รวมพลังประชาชาติไทย,16,เหนือ
000,แพร่ เขต2,A1202,บัตรเสีย,7,เหนือ
888,แพร่ เขต2,A1202,ไม่ใช่สิทธิ์ลงคะแนน,5,เหนือ
999,ภูเก็ต เขต1,A1301,บัตรดี,,ใต้
034,ภูเก็ต เขต1,A1301,เพื่อไทย,5,ใต้
001,ภูเก็ต เขต1,A1301,ประชาธิปัตย์,11,ใต้
192,ภูเก็ต เขต1,A1301,พลังประชารัฐ,9,ใต้
177,ภูเก็ต เขต1,A1301,อนาคตใหม่,10,ใต้
063,ภูเก็ต เขต1,A1301,ภูมิใจไทย,18,ใต้
077,ภูเก็ต เขต1,A1301,พรรคไทยรักษาชาติ,15,ใต้
145,ภูเก็ต เขต1,A1301,เสรีรวมไทย,10,ใต้
181,ภูเก็ต เขต1,A1301,รวมพลังประชาชาติไทย,9,ใต้
000,ภูเก็ต เขต1,A1301,บัตรเสีย,5,ใต้
888,ภูเก็ต เขต1,A1301,ไม่ใช่สิทธิ์ลงคะแนน,8,ใต้
999,ภูเก็ต เขต2,A1302,บัตรดี,,ใต้
034,ภูเก็ต เขต2,A1302,เพื่อไทย,6,ใต้
001,ภูเก็ต เขต2,A1302,ประชาธิปัตย์,8,ใต้
192,ภูเก็ต เขต2,A1302,พลังประชารัฐ,19,ใต้
177,ภูเก็ต เขต2,A1302,อนาคตใหม่,12,ใต้
063,ภูเก็ต เขต2,A1302,ภูมิใจไทย,6,ใต้
077,ภูเก็ต เขต2,A1302,พรรคไทยรักษาชาติ,10,ใต้
145,ภูเก็ต เขต2,A1302,เสรีรวมไทย,18,ใต้
181,ภูเก็ต เขต2,A1302,รวมพลังประชาชาติไทย,11,ใต้
000,ภูเก็ต เขต2,A1302,บัตรเสีย,8,ใต้
888,ภูเก็ต เขต2,A1302,ไม่ใช่สิทธิ์ลงคะแนน,2,ใต้
999,มุกดาหาร เขต1,A1401,บัตรดี,,ตะวันออกเฉียงเหนือ
034,มุกดาหาร เขต1,A1401,เพื่อไทย,9,ตะวันออกเฉียงเหนือ
001,มุกดาหาร เขต1,A1401,ประชาธิปัตย์,11,ตะวันออกเฉียงเหนือ
192,มุกดาหาร เขต1,A1401,พลังประชารัฐ,14,ตะวันออกเฉียงเหนือ
177,มุกดาหาร เขต1,A1401,อนาคตใหม่,8,ตะวันออกเฉียงเหนือ
063,มุกดาหาร เขต1,A1401,ภูมิใจไทย,8,ตะวันออกเฉียงเหนือ
077,มุกดาหาร เขต1,A1401,พรรคไทยรักษาชาติ,6,ตะวันออกเฉียงเหนือ
145,มุกดาหาร เขต1,A1401,เสรีรวมไทย,12,ตะวันออกเฉียงเหนือ
181,มุกดาหาร เขต1,A1401,รวมพลังประชาชาติไทย,13,ตะวันออกเฉียงเหนือ
000,มุกดาหาร เขต1,A1401,บัตรเสีย,6,ตะวันออกเฉียงเหนือ
888,มุกดาหาร เขต1,A1401,ไม่ใช่สิทธิ์ลงคะแนน,13,ตะวันออกเฉียงเหนือ
999,มุกดาหาร เขต2,A1402,บัตรดี,,ตะวันออกเฉียงเหนือ
034,มุกดาหาร เขต2,A1402,เพื่อไทย,16,ตะวันออกเฉียงเหนือ
001,มุกดาหาร เขต2,A1402,ประชาธิปัตย์,6,ตะวันออกเฉียงเหนือ
192,มุกดาหาร เขต2,A1402,พลังประชารัฐ,13,ตะวันออกเฉียงเหนือ
177,มุกดาหาร เขต2,A1402,อนาคตใหม่,5,ตะวันออกเฉียงเหนือ
063,มุกดาหาร เขต2,A1402,ภูมิใจไทย,9,ตะวันออกเฉียงเหนือ
077,มุกดาหาร เขต2,A1402,พรรคไทยรักษาชาติ,9,ตะวันออกเฉียงเหนือ
145,มุกดาหาร เขต2,A1402,เสรีรวมไทย,12,ตะวันออกเฉียงเหนือ
181,มุกดาหาร เขต2,A1402,รวมพลังประชาชาติไทย,7,ตะวันออกเฉียงเหนือ
000,มุกดาหาร เขต2,A1402,บัตรเสีย,19,ตะวันออกเฉียงเหนือ
888,มุกดาหาร เขต2,A1402,ไม่ใช่สิทธิ์ลงคะแนน,4,ตะวันออกเฉียงเหนือ
999,ลำพูน เขต1,A1501,บัตรดี,,เหนือ
034,ลำพูน เขต1,A1501,เพื่อไทย,5,เหนือ
001,ลำพูน เขต1,A1501,ประชาธิปัตย์,5,เหนือ
192,ลำพูน เขต1,A1501,พลังประชารัฐ,16,เหนือ
177,ลำพูน เขต1,A1501,อนาคตใหม่,8,เหนือ
063,ลำพูน เขต1,A1501,ภูมิใจไทย,11,เหนือ
077,ลำพูน เขต1,A1501,พรรคไทยรักษาชาติ,5,เหนือ
145,ลำพูน เขต1,A1501,เสรีรวมไทย,6,เหนือ
181,ลำพูน เขต1,A1501,รวมพลังประชาชาติไทย,13,เหนือ
000,ลำพูน เขต1,A1501,บัตรเสีย,17,เหนือ
888,ลำพูน เขต1,A1501,ไม่ใช่สิทธิ์ลงคะแนน,14,เหนือ
999,ลำพูน เขต2,A1502,บัตรดี,,เหนือ
034,ลำพูน เขต2,A1502,เพื่อไทย,6,เหนือ
001,ลำพูน เขต2,A1502,ประชาธิปัตย์,16,เหนือ
192,ลำพูน เขต2,A1502,พลังประชารัฐ,17,เหนือ
177,ลำพูน เขต2,A1502,อนาคตใหม่,10,เหนือ
063,ลำพูน เขต2,A1502,ภูมิใจไทย,9,เหนือ
077,ลำพูน เขต2,A1502,พรรคไทยรักษาชาติ,16,เหนือ
145,ลำพูน เขต2,A1502,เสรีรวมไทย,7,เหนือ
181,ลำพูน เขต2,A1502,รวมพลังประชาชาติไทย,7,เหนือ
000,ลำพูน เขต2,A1502,บัตรเสีย,7,เหนือ
888,ลำพูน เขต2,A1502,ไม่ใช่สิทธิ์ลงคะแนน,5,เหนือ
999,สตูล เขต1,A1601,บัตรดี,,ใต้
034,สตูล เขต1,A1601,เพื่อไทย,11,ใต้
001,สตูล เขต1,A1601,ประชาธิปัตย์,6,ใต้
192,สตูล เขต1,A1601,พลังประชารัฐ,11,ใต้
177,สตูล เขต1,A1601,อนาคตใหม่,13,ใต้
063,สตูล เขต1,A1601,ภูมิใจไทย,9,ใต้
077,สตูล เขต1,A1601,พรรคไทยรักษาชาติ,11,ใต้
145,สตูล เขต1,A1601,เสรีรวมไทย,5,ใต้
181,สตูล เขต1,A1601,รวมพลังประชาชาติไทย,8,ใต้
000,สตูล เขต1,A1601,บัตรเสีย,14,ใต้
888,สตูล เขต1,A1601,ไม่ใช่สิทธิ์ลงคะแนน,12,ใต้
999,สตูล เขต2,A1602,บัตรดี,,ใต้
034,สตูล เขต2,A1602,เพื่อไทย,12,ใต้
001,สตูล เขต2,A1602,ประชาธิปัตย์,13,ใต้
192,สตูล เขต2,A1602,พลังประชารัฐ,8,ใต้
177,สตูล เขต2,A1602,อนาคตใหม่,8,ใต้
063,สตูล เขต2,A1602,ภูมิใจไทย,7,ใต้
077,สตูล เขต2,A1602,พรรคไทยรักษาชาติ,8,ใต้
145,สตูล เขต2,A1602,เสรีรวมไทย,10,ใต้
181,สตูล เขต2,A1602,รวมพลังประชาชาติไทย,17,ใต้
000,สตูล เขต2,A1602,บัตรเสีย,7,ใต้
888,สตูล เขต2,A1602,ไม่ใช่สิทธิ์ลงคะแนน,10,ใต้
999,อำนาจเจริญ เขต1,A1701,บัตรดี,,ตะวันออกเฉียงเหนือ
034,อำนาจเจริญ เขต1,A1701,เพื่อไทย,19,ตะวันออกเฉียงเหนือ
001,อำนาจเจริญ เขต1,A1701,ประชาธิปัตย์,8,ตะวันออกเฉียงเหนือ
192,อำนาจเจริญ เขต1,A1701,พลังประชารัฐ,7,ตะวันออกเฉียงเหนือ
177,อำนาจเจริญ เขต1,A1701,อนาคตใหม่,6,ตะวันออกเฉียงเหนือ
063,อำนาจเจริญ เขต1,A1701,ภูมิใจไทย,8,ตะวันออกเฉียงเหนือ
077,อำนาจเจริญ เขต1,A1701,พรรคไทยรักษาชาติ,11,ตะวันออกเฉียงเหนือ
145,อำนาจเจริญ เขต1,A1701,เสรีรวมไทย,10,ตะวันออกเฉียงเหนือ
181,อำนาจเจริญ เขต1,A1701,รวมพลังประชาชาติไทย,11,ตะวันออกเฉียงเหนือ
000,อำนาจเจริญ เขต1,A1701,บัตรเสีย,20,ตะวันออกเฉียงเหนือ
888,อำนาจเจริญ เขต1,A1701,ไม่ใช่สิทธิ์ลงคะแนน,0,ตะวันออกเฉียงเหนือ
999,อำนาจเจริญ เขต2,A1702,บัตรดี,,ตะวันออกเฉียงเหนือ
034,อำนาจเจริญ เขต2,A1702,เพื่อไทย,7,ตะวันออกเฉียงเหนือ
001,อำนาจเจริญ เขต2,A1702,ประชาธิปัตย์,16,ตะวันออกเฉียงเหนือ
192,อำนาจเจริญ เขต2,A1702,พลังประชารัฐ,9,ตะวันออกเฉียงเหนือ
177,อำนาจเจริญ เขต2,A1702,อนาคตใหม่,5,ตะวันออกเฉียงเหนือ
063,อำนาจเจริญ เขต2,A1702,ภูมิใจไทย,11,ตะวันออกเฉียงเหนือ
077,อำนาจเจริญ เขต2,A1702,พรรคไทยรักษาชาติ,5,ตะวันออกเฉียงเหนือ
145,อำนาจเจริญ เขต2,A1702,เสรีรวมไทย,6,ตะวันออกเฉียงเหนือ
181,อำนาจเจริญ เขต2,A1702,รวมพลังประชาชาติไทย,8,ตะวันออกเฉียงเหนือ
000,อำนาจเจริญ เขต2,A1702,บัตรเสีย,17,ตะวันออกเฉียงเหนือ
888,อำนาจเจริญ เขต2,A1702,ไม่ใช่สิทธิ์ลงคะแนน,16,ตะวันออกเฉียงเหนือ
999,อุตรดิตถ์ เขต1,A1801,บัตรดี,,เหนือ
034,อุตรดิตถ์ เขต1,A1801,เพื่อไทย,14,เหนือ
001,อุตรดิตถ์ เขต1,A1801,ประชาธิปัตย์,5,เหนือ
192,อุตรดิตถ์ เขต1,A1801,พลังประชารัฐ,8,เหนือ
177,อุตรดิตถ์ เขต1,A1801,อนาคตใหม่,16,เหนือ
063,อุตรดิตถ์ เขต1,A1801,ภูมิใจไทย,5,เหนือ
077,อุตรดิตถ์ เขต1,A1801,พรรคไทยรักษาชาติ,13,เหนือ
145,อุตรดิตถ์ เขต1,A1801,เสรีรวมไทย,15,เหนือ
181,อุตรดิตถ์ เขต1,A1801,รวมพลังประชาชาติไทย,15,เหนือ
000,อุตรดิตถ์ เขต1,A1801,บัตรเสีย,6,เหนือ
888,อุตรดิตถ์ เขต1,A1801,ไม่ใช่สิทธิ์ลงคะแนน,3,เหนือ
999,อุตรดิตถ์ เขต2,A1802,บัตรดี,,เหนือ
034,อุตรดิตถ์ เขต2,A1802,เพื่อไทย,5,เหนือ
001,อุตรดิตถ์ เขต2,A1802,ประชาธิปัตย์,14,เหนือ
192,อุตรดิตถ์ เขต2,A1802,พลังประชารัฐ,10,เหนือ
177,อุตรดิตถ์ เขต2,A1802,อนาคตใหม่,13,เหนือ
063,อุตรดิตถ์ เขต2,A1802,ภูมิใจไทย,5,เหนือ
077,อุตรดิตถ์ เขต2,A1802,พรรคไทยรักษาชาติ,12,เหนือ
145,อุตรดิตถ์ เขต2,A1802,เสรีรวมไทย,8,เหนือ
181,อุตรดิตถ์ เขต2,A1802,รวมพลังประชาชาติไทย,16,เหนือ
000,อุตรดิตถ์ เขต2,A1802,บัตรเสีย,17,เหนือ
888,อุตรดิตถ์ เขต2,A1802,ไม่ใช่สิทธิ์ลงคะแนน,0,เหนือ
999,อุทัยธานี เขต1,A1901,บัตรดี,,กลาง
034,อุทัยธานี เขต1,A1901,เพื่อไทย,5,กลาง
001,อุทัยธานี เขต1,A1901,ประชาธิปัตย์,9,กลาง
192,อุทัยธานี เขต1,A1901,พลังประชารัฐ,8,กลาง
177,อุทัยธานี เขต1,A1901,อนาคตใหม่,5,กลาง
063,อุทัยธานี เขต1,A1901,ภูมิใจไทย,13,กลาง
077,อุทัยธานี เขต1,A1901,พรรคไทยรักษาชาติ,12,กลาง
145,อุทัยธานี เขต1,A1901,เสรีรวมไทย,12,กลาง
181,อุทัยธานี เขต1,A1901,รวมพลังประชาชาติไทย,12,กลาง
000,อุทัยธานี เขต1,A1901,บัตรเสีย,8,กลาง
888,อุทัยธานี เขต1,A1901,ไม่ใช่สิทธิ์ลงคะแนน,16,กลาง
999,อุทัยธานี เขต2,A1902,บัตรดี,,กลาง
034,อุทัยธานี เขต2,A1902,เพื่อไทย,5,กลาง
001,อุทัยธานี เขต2,A1902,ประชาธิปัตย์,12,กลาง
192,อุทัยธานี เขต2,A1902,พลังประชารัฐ,20,กลาง
177,อุทัยธานี เขต2,A1902,อนาคตใหม่,7,กลาง
063,อุทัยธานี เขต2,A1902,ภูมิใจไทย,13,กลาง
077,อุทัยธานี เขต2,A1902,พรรคไทยรักษาชาติ,12,กลาง
145,อุทัยธานี เขต2,A1902,เสรีรวมไทย,5,กลาง
181,อุทัยธานี เขต2,A1902,รวมพลังประชาชาติไทย,5,กลาง
000,อุทัยธานี เขต2,A1902,บัตรเสีย,8,กลาง
888,อุทัยธานี เขต2,A1902,ไม่ใช่สิทธิ์ลงคะแนน,13,กลาง
999,จันทบุรี เขต1,A2001,บัตรดี,,ตะวันออกเฉียงใต้
034,จันทบุรี เขต1,A2001,เพื่อไทย,8,ตะวันออกเฉียงใต้
001,จันทบุรี เขต1,A2001,ประชาธิปัตย์,11,ตะวันออกเฉียงใต้
192,จันทบุรี เขต1,A2001,พลังประชารัฐ,16,ตะวันออกเฉียงใต้
177,จันทบุรี เขต1,A2001,อนาคตใหม่,9,ตะวันออกเฉียงใต้
063,จันทบุรี เขต1,A2001,ภูมิใจไทย,10,ตะวันออกเฉียงใต้
077,จันทบุรี เขต1,A2001,พรรคไทยรักษาชาติ,16,ตะวันออกเฉียงใต้
145,จันทบุรี เขต1,A2001,เสรีรวมไทย,8,ตะวันออกเฉียงใต้
