IdArea,NameArea,idParty,NameArea,NoRegister,NameRegister,Status,NameInitial,Tags[],คะแนน,Source
A0501,ระนอง เขต1,063,ภูมิใจไทย,5,ปานเทพ วันเพ็ญ,TRUE,ภท.,,,
A0501,ระนอง เขต1,077,พรรคไทยรักษาชาติ,6,ชูเกียรติ เบญกูล,TRUE,ทษช.,,,
A0501,ระนอง เขต1,145,เสรีรวมไทย,7,รัตนชาติ รักซ้อน,TRUE,สร.,,,
A0501,ระนอง เขต1,181,รวมพลังประชาชาติไทย,8,ชนากานต์ เสนาคำ,TRUE,รปช.,,,
A0601,สมุทรสงคราม เขต1,034,เพื่อไทย,1,ขวัญแพร แสงพันธ์,TRUE,พท.,,,
A0601,สมุทรสงคราม เขต1,001,ประชาธิปัตย์,2,อรรถกร พูลสวัสดิ์,TRUE,ปชป.,,,
A0601,สมุทรสงคราม เขต1,192,พลังประชารัฐ,3,เทพนิมิตร ทองจันทร์,TRUE,พปชร.,,,
A0601,สมุทรสงคราม เขต1,177,อนาคตใหม่,4,อุษณีษ์ ภู่กลั่น,TRUE,อ.น.ค.,,,
A0601,สมุทรสงคราม เขต1,063,ภูมิใจไทย,5,อรุณี ตุ่นตาโมง,TRUE,ภท.,,,
A0601,สมุทรสงคราม เขต1,077,พรรคไทยรักษาชาติ,6,ปิยาวรรณ พ่วงพิศ,TRUE,ทษช.,,,
A0601,สมุทรสงคราม เขต1,145,เสรีรวมไทย,7,จิตนันท์ วงศ์รักษ์งาน,TRUE,สร.,,,
A0601,สมุทรสงคราม เขต1,181,รวมพลังประชาชาติไทย,8,ชนัฐชนม์ ภู่อารีย์,TRUE,รปช.,,,
A0701,สิงห์บุรี เขต1,034,เพื่อไทย,1,พิสิทธิ์ บุญเรือน,TRUE,พท.,,,
A0701,สิงห์บุรี เขต1,001,ประชาธิปัตย์,2,อริยะกุล สุวาหลำ,TRUE,ปชป.,,,
A0701,สิงห์บุรี เขต1,192,พลังประชารัฐ,3,กันตรัช โคเจริญ,TRUE,พปชร.,,,
A0701,สิงห์บุรี เขต1,177,อนาคตใหม่,4,นคร ทิวาประเสริฐพร,TRUE,อ.น.ค.,,,
A0701,สิงห์บุรี เขต1,063,ภูมิใจไทย,5,วรินรำไพ ชูศรี,TRUE,ภท.,,,
A0701,สิงห์บุรี เขต1,077,พรรคไทยรักษาชาติ,6,ทิพย์กานดา เทือกเถา,TRUE,ทษช.,,,
A0701,สิงห์บุรี เขต1,145,เสรีรวมไทย,7,บัญญพนต์ มีลือการ,TRUE,สร.,,,
A0701,สิงห์บุรี เขต1,181,รวมพลังประชาชาติไทย,8,ศกลวรรณ สุดภักดี,TRUE,รปช.,,,
A0801,อ่างทอง เขต1,034,เพื่อไทย,1,อรเนตร มีป้อม,TRUE,พท.,,,
A0801,อ่างทอง เขต1,001,ประชาธิปัตย์,2,พนิดา รักนุ่น,TRUE,ปชป.,,,
A0801,อ่างทอง เขต1,192,พลังประชารัฐ,3,วรกาล ทิพย์ธารา,TRUE,พปชร.,,,
A0801,อ่างทอง เขต1,177,อนาคตใหม่,4,ศิริกุล พลสง่า,TRUE,อ.น.ค.,,,
A0801,อ่างทอง เขต1,063,ภูมิใจไทย,5,นรากร คำจวง,TRUE,ภท.,,,
A0801,อ่างทอง เขต1,077,พรรคไทยรักษาชาติ,6,พงศ์ศิษฏ์ พจนา,TRUE,ทษช.,,,
A0801,อ่างทอง เขต1,145,เสรีรวมไทย,7,ปริญญานนท์ แก้วปัญญา,TRUE,สร.,,,
A0801,อ่างทอง เขต1,181,รวมพลังประชาชาติไทย,8,จรัญญา ประเทือง,TRUE,รปช.,,,
A0901,กระบี่ เขต1,034,เพื่อไทย,1,ระพีพัฒน์ จอมมณี,TRUE,พท.,,,
A0901,กระบี่ เขต1,001,ประชาธิปัตย์,2,แพรววนิด หลวงพนัง,TRUE,ปชป.,,,
A0901,กระบี่ เขต1,192,พลังประชารัฐ,3,ธนากูร เกษมโชค,TRUE,พปชร.,,,
A0901,กระบี่ เขต1,177,อนาคตใหม่,4,ปวีณา แจ่มจำรัส,TRUE,อ.น.ค.,,,
A0901,กระบี่ เขต1,063,ภูมิใจไทย,5,เมธาสิทธิ์ บุญเทศ,TRUE,ภท.,,,
A0901,กระบี่ เขต1,077,พรรคไทยรักษาชาติ,6,สุภัทรา อะทาโส,TRUE,ทษช.,,,
A0901,กระบี่ เขต1,145,เสรีรวมไทย,7,จักรภาณุ จุลภักดิ์,TRUE,สร.,,,
A0901,กระบี่ เขต1,181,รวมพลังประชาชาติไทย,8,ซุฟยัน บุงา,TRUE,รปช.,,,
A0902,กระบี่ เขต2,034,เพื่อไทย,1,ศาสตรา ดาราวัลย์,TRUE,พท.,,,
A0902,กระบี่ เขต2,001,ประชาธิปัตย์,2,ชนวัสส์ อ้อมแก้วการณ์,TRUE,ปชป.,,,
A0902,กระบี่ เขต2,192,พลังประชารัฐ,3,กร วัฒนพันธุ์,TRUE,พปชร.,,,
A0902,กระบี่ เขต2,177,อนาคตใหม่,4,เพลินใจ พรมแก้ว,TRUE,อ.น.ค.,,,
A0902,กระบี่ เขต2,063,ภูมิใจไทย,5,ธาราทิพย์ ขันเงิน,TRUE,ภท.,,,
A0902,กระบี่ เขต2,077,พรรคไทยรักษาชาติ,6,ปารณัท วรรณแสงแก้ว,TRUE,ทษช.,,,
A0902,กระบี่ เขต2,145,เสรีรวมไทย,7,วิษณุ แก้วตา,TRUE,สร.,,,
A0902,กระบี่ เขต2,181,รวมพลังประชาชาติไทย,8,ศุภชัย ด้วงมาก,TRUE,รปช.,,,
A1001,ชัยนาท เขต1,034,เพื่อไทย,1,วิไลวรรณ ไกรศิริ,TRUE,พท.,,,
A1001,ชัยนาท เขต1,001,ประชาธิปัตย์,2,สายฝน พุ่มพับ,TRUE,ปชป.,,,
A1001,ชัยนาท เขต1,192,พลังประชารัฐ,3,กันตพิชญ์ เพ็ชรกูล,TRUE,พปชร.,,,
A1001,ชัยนาท เขต1,177,อนาคตใหม่,4,วัชระ เหลืองอ่อน,TRUE,อ.น.ค.,,,
A1001,ชัยนาท เขต1,063,ภูมิใจไทย,5,ธนพนธ์ อุ่นเรืองเกียรติ,TRUE,ภท.,,,
A1001,ชัยนาท เขต1,077,พรรคไทยรักษาชาติ,6,กิตติคุณ เครือสูงเนิน,TRUE,ทษช.,,,
A1001,ชัยนาท เขต1,145,เสรีรวมไทย,7,ทวีศักดิ์ ทัพทวี,TRUE,สร.,,,
A1001,ชัยนาท เขต1,181,รวมพลังประชาชาติไทย,8,วรรณิสา ล้านแก้ว,TRUE,รปช.,,,
A1002,ชัยนาท เขต2,034,เพื่อไทย,1,ปาริฉัตต์ หนูชิต,TRUE,พท.,,,
A1002,ชัยนาท เขต2,001,ประชาธิปัตย์,2,ปภาวี อินทสูนย์,TRUE,ปชป.,,,
A1002,ชัยนาท เขต2,192,พลังประชารัฐ,3,พจนา ศรีนอก,TRUE,พปชร.,,,
A1002,ชัยนาท เขต2,177,อนาคตใหม่,4,สุปราณี อาจธัญกรณ์,TRUE,อ.น.ค.,,,
A1002,ชัยนาท เขต2,063,ภูมิใจไทย,5,พิมลพรรณ บุญแสวง,TRUE,ภท.,,,
A1002,ชัยนาท เขต2,077,พรรคไทยรักษาชาติ,6,รัชนี กอลแมน,TRUE,ทษช.,,,
A1002,ชัยนาท เขต2,145,เสรีรวมไทย,7,ชลันดา เทวีนุกูล,TRUE,สร.,,,
A1002,ชัยนาท เขต2,181,รวมพลังประชาชาติไทย,8,พงษ์ศิริ ทองมั่น,TRUE,รปช.,,,
A1101,บึงกาฬ เขต1,034,เพื่อไทย,1,ญาณิศา ไทยเจริญ,TRUE,พท.,,,
A1101,บึงกาฬ เขต1,001,ประชาธิปัตย์,2,พิสิทธิ์ จันทร์ทอง,TRUE,ปชป.,,,
A1101,บึงกาฬ เขต1,192,พลังประชารัฐ,3,ประกายเพชร พันธคาร,TRUE,พปชร.,,,
A1101,บึงกาฬ เขต1,177,อนาคตใหม่,4,ทศพล สามารถ,TRUE,อ.น.ค.,,,
A1101,บึงกาฬ เขต1,063,ภูมิใจไทย,5,นำพล เล็กเริงสินธุ์,TRUE,ภท.,,,
A1101,บึงกาฬ เขต1,077,พรรคไทยรักษาชาติ,6,ทศพร พานิชกุล,TRUE,ทษช.,,,
A1101,บึงกาฬ เขต1,145,เสรีรวมไทย,7,พิชญา มุ่งเมืองกลาง,TRUE,สร.,,,
A1101,บึงกาฬ เขต1,181,รวมพลังประชาชาติไทย,8,จิราธิวัฒน์ บุญเติม,TRUE,รปช.,,,
A1102,บึงกาฬ เขต2,034,เพื่อไทย,1,สุพัชรนันท์ จันทร์หวาน,TRUE,พท.,,,
A1102,บึงกาฬ เขต2,001,ประชาธิปัตย์,2,ปัณรสี หนูทอง,TRUE,ปชป.,,,
A1102,บึงกาฬ เขต2,192,พลังประชารัฐ,3,ธนพล สีบุญวงษา,TRUE,พปชร.,,,
A1102,บึงกาฬ เขต2,177,อนาคตใหม่,4,เกริกฤทธิ์ เส็นเจริญ,TRUE,อ.น.ค.,,,
A1102,บึงกาฬ เขต2,063,ภูมิใจไทย,5,สุทิน หอมกลิ่น,TRUE,ภท.,,,
A1102,บึงกาฬ เขต2,077,พรรคไทยรักษาชาติ,6,วัสสิกา ปานเจริญ,TRUE,ทษช.,,,
A1102,บึงกาฬ เขต2,145,เสรีรวมไทย,7,ศุภสิทธิ์ ศุภชัยศิริจันทร์,TRUE,สร.,,,
A1102,บึงกาฬ เขต2,181,รวมพลังประชาชาติไทย,8,เปรม ส่อนแก้ว,TRUE,รปช.,,,
A1201,แพร่ เขต1,034,เพื่อไทย,1,ธนมน สุวรรณหงษ์,TRUE,พท.,,,
A1201,แพร่ เขต1,001,ประชาธิปัตย์,2,สุบรร พงษ์ช้าง,TRUE,ปชป.,,,
A1201,แพร่ เขต1,192,พลังประชารัฐ,3,ณรงค์ศักดิ์ สุดใหม่,TRUE,พปชร.,,,
A1201,แพร่ เขต1,177,อนาคตใหม่,4,สุนารี สายทอง,TRUE,อ.น.ค.,,,
A1201,แพร่ เขต1,063,ภูมิใจไทย,5,นวพล วิริยานุภาพพงศ์,TRUE,ภท.,,,
A1201,แพร่ เขต1,077,พรรคไทยรักษาชาติ,6,ชัยวัฒน์ ภุมรา,TRUE,ทษช.,,,
A1201,แพร่ เขต1,145,เสรีรวมไทย,7,พงศ์ภัค จิตต์พราหมณี,TRUE,สร.,,,
A1201,แพร่ เขต1,181,รวมพลังประชาชาติไทย,8,กฤตพร ไชยเสน,TRUE,รปช.,,,
A1202,แพร่ เขต2,034,เพื่อไทย,1,สุวิทย์ เกลียวแก้ว,TRUE,พท.,,,
A1202,แพร่ เขต2,001,ประชาธิปัตย์,2,ธีรวัต ศิริโรจน์,TRUE,ปชป.,,,
A1202,แพร่ เขต2,192,พลังประชารัฐ,3,สิทธิวัฒน์ จันทร์กิตติคุณ,TRUE,พปชร.,,,
A1202,แพร่ เขต2,177,อนาคตใหม่,4,ยุทธพงษ์ กัณณีย์,TRUE,อ.น.ค.,,,
A1202,แพร่ เขต2,063,ภูมิใจไทย,5,สุรศักดิ์ นักเจริญ,TRUE,ภท.,,,
A1202,แพร่ เขต2,077,พรรคไทยรักษาชาติ,6,ณัฐกาญจน์ คำจันทร์,TRUE,ทษช.,,,
A1202,แพร่ เขต2,145,เสรีรวมไทย,7,กวินตรา นาคถ่าย,TRUE,สร.,,,
A1202,แพร่ เขต2,181,รวมพลังประชาชาติไทย,8,ธีรพงศ์ บุญอุ่น,TRUE,รปช.,,,
A1301,ภูเก็ต เขต1,034,เพื่อไทย,1,วันดี ไทยเจริญ,TRUE,พท.,,,
A1301,ภูเก็ต เขต1,001,ประชาธิปัตย์,2,บัญชา บุญหว่าน,TRUE,ปชป.,,,
A1301,ภูเก็ต เขต1,192,พลังประชารัฐ,3,แพรวภัทรา พูลเอี่ยม,TRUE,พปชร.,,,
A1301,ภูเก็ต เขต1,177,อนาคตใหม่,4,วรเมธ สุวรรณหงส์,TRUE,อ.น.ค.,,,
A1301,ภูเก็ต เขต1,063,ภูมิใจไทย,5,หยาดพิรุณ สารภี,TRUE,ภท.,,,
A1301,ภูเก็ต เขต1,077,พรรคไทยรักษาชาติ,6,ภูดิศ กุลธรรม,TRUE,ทษช.,,,
A1301,ภูเก็ต เขต1,145,เสรีรวมไทย,7,จักรกฤษณ์ บุญประสพ,TRUE,สร.,,,
A1301,ภูเก็ต เขต1,181,รวมพลังประชาชาติไทย,8,กีรติ ชื่นสว่าง,TRUE,รปช.,,,
A1302,ภูเก็ต เขต2,034,เพื่อไทย,1,นิตินัย ยูวะนิยม,TRUE,พท.,,,
A1302,ภูเก็ต เขต2,001,ประชาธิปัตย์,2,วนิดา รุ่งแจ้ง,TRUE,ปชป.,,,
A1302,ภูเก็ต เขต2,192,พลังประชารัฐ,3,หทัยวรรณ มนูญกิตติวงศ์,TRUE,พปชร.,,,
A1302,ภูเก็ต เขต2,177,อนาคตใหม่,4,ประสิทธิ์ นภสิทธิ์จินดา,TRUE,อ.น.ค.,,,
A1302,ภูเก็ต เขต2,063,ภูมิใจไทย,5,พงษ์ฐกร ศรีโฉม,TRUE,ภท.,,,
A1302,ภูเก็ต เขต2,077,พรรคไทยรักษาชาติ,6,พัชราภรณ์ มาดี,TRUE,ทษช.,,,
A1302,ภูเก็ต เขต2,145,เสรีรวมไทย,7,กรรภิรมย์ เสวตวิหารี,TRUE,สร.,,,
A1302,ภูเก็ต เขต2,181,รวมพลังประชาชาติไทย,8,พุทธคุณ คำศิริ,TRUE,รปช.,,,
A1401,มุกดาหาร เขต1,034,เพื่อไทย,1,วันชนะ รักพงษ์ไพบูลย์,TRUE,พท.,,,
A1401,มุกดาหาร เขต1,001,ประชาธิปัตย์,2,นพเดช โตมร,TRUE,ปชป.,,,
A1401,มุกดาหาร เขต1,192,พลังประชารัฐ,3,พิษณุ เปรมกระโทก,TRUE,พปชร.,,,
A1401,มุกดาหาร เขต1,177,อนาคตใหม่,4,ณัฐวัฒน์ พรมมีเดช,TRUE,อ.น.ค.,,,
A1401,มุกดาหาร เขต1,063,ภูมิใจไทย,5,กฤษศินี สันจิตต์,TRUE,ภท.,,,
A1401,มุกดาหาร เขต1,077,พรรคไทยรักษาชาติ,6,ภิธยา จีนนิกุล,TRUE,ทษช.,,,
A1401,มุกดาหาร เขต1,145,เสรีรวมไทย,7,นิกร มะลิทอง,TRUE,สร.,,,
A1401,มุกดาหาร เขต1,181,รวมพลังประชาชาติไทย,8,จิตต์ชนก จันทอุดร,TRUE,รปช.,,,
A1402,มุกดาหาร เขต2,034,เพื่อไทย,1,กิรสรรพ กิ่งบุญนาค,TRUE,พท.,,,
A1402,มุกดาหาร เขต2,001,ประชาธิปัตย์,2,ธนบัตร แก้วศรีทอง,TRUE,ปชป.,,,
A1402,มุกดาหาร เขต2,192,พลังประชารัฐ,3,พรลภัส เดชะ,TRUE,พปชร.,,,
A1402,มุกดาหาร เขต2,177,อนาคตใหม่,4,มธุรส สุขธรรม,TRUE,อ.น.ค.,,,
A1402,มุกดาหาร เขต2,063,ภูมิใจไทย,5,วัฒนะ ป้อมเสมา,TRUE,ภท.,,,
A1402,มุกดาหาร เขต2,077,พรรคไทยรักษาชาติ,6,ฐิติรัตน์ เปียปาน,TRUE,ทษช.,,,
A1402,มุกดาหาร เขต2,145,เสรีรวมไทย,7,ธันยาภรณ์ เมืองไทย,TRUE,สร.,,,
A1402,มุกดาหาร เขต2,181,รวมพลังประชาชาติไทย,8,ศตวรรษ เพชรมาตศรี,TRUE,รปช.,,,
A1501,ลำพูน เขต1,034,เพื่อไทย,1,อภิญญา เพิ่มพูล,TRUE,พท.,,,
A1501,ลำพูน เขต1,001,ประชาธิปัตย์,2,ชัชวาล วะยะลุน,TRUE,ปชป.,,,
A1501,ลำพูน เขต1,192,พลังประชารัฐ,3,วรรษมน สงวนพงษ์,TRUE,พปชร.,,,
A1501,ลำพูน เขต1,177,อนาคตใหม่,4,อภิญญา นพศรี,TRUE,อ.น.ค.,,,
A1501,ลำพูน เขต1,063,ภูมิใจไทย,5,นิติญา น้อยคำแพง,TRUE,ภท.,,,
A1501,ลำพูน เขต1,077,พรรคไทยรักษาชาติ,6,อรทิตย์ ศรีสังข์,TRUE,ทษช.,,,
A1501,ลำพูน เขต1,145,เสรีรวมไทย,7,วิโรจน์ ปิลินประสาน,TRUE,สร.,,,
A1501,ลำพูน เขต1,181,รวมพลังประชาชาติไทย,8,บดินทร์ อุทัยธิรัตน์,TRUE,รปช.,,,
A1502,ลำพูน เขต2,034,เพื่อไทย,1,เกษรา เหลาคำ,TRUE,พท.,,,
A1502,ลำพูน เขต2,001,ประชาธิปัตย์,2,อภินันท์ สวนพันธ์,TRUE,ปชป.,,,
A1502,ลำพูน เขต2,192,พลังประชารัฐ,3,บุญเติม แสงดิษฐ,TRUE,พปชร.,,,
A1502,ลำพูน เขต2,177,อนาคตใหม่,4,นภา ตรีโภคา,TRUE,อ.น.ค.,,,
A1502,ลำพูน เขต2,063,ภูมิใจไทย,5,สมพล แขวงเรียงขวาง,TRUE,ภท.,,,
A1502,ลำพูน เขต2,077,พรรคไทยรักษาชาติ,6,นที ชัยปกรณ์,TRUE,ทษช.,,,
A1502,ลำพูน เขต2,145,เสรีรวมไทย,7,สุภาวดี ศิริชัย,TRUE,สร.,,,
A1502,ลำพูน เขต2,181,รวมพลังประชาชาติไทย,8,โชคทวี ยศศรียา,TRUE,รปช.,,,
A1601,สตูล เขต1,034,เพื่อไทย,1,นันทิชา นาคจำนงค์,TRUE,พท.,,,
A1601,สตูล เขต1,001,ประชาธิปัตย์,2,วิจิตรา ศรีสังข์,TRUE,ปชป.,,,
A1601,สตูล เขต1,192,พลังประชารัฐ,3,สุจิตรา รักจันทร์,TRUE,พปชร.,,,
A1601,สตูล เขต1,177,อนาคตใหม่,4,สุธีระ เพชรคงทอง,TRUE,อ.น.ค.,,,
A1601,สตูล เขต1,063,ภูมิใจไทย,5,พิชยุตม์ กาญจนะ,TRUE,ภท.,,,
A1601,สตูล เขต1,077,พรรคไทยรักษาชาติ,6,ไพโรจน์ มุขช่วย,TRUE,ทษช.,,,
A1601,สตูล เขต1,145,เสรีรวมไทย,7,ศุภโชค สมศรี,TRUE,สร.,,,
A1601,สตูล เขต1,181,รวมพลังประชาชาติไทย,8,วีรนุช สุมา,TRUE,รปช.,,,
A1602,สตูล เขต2,034,เพื่อไทย,1,กีรติ วิสุทธิวินิกานนท์,TRUE,พท.,,,
A1602,สตูล เขต2,001,ประชาธิปัตย์,2,ณัฐวรรณ เอกพงศ์ธร,TRUE,ปชป.,,,
A1602,สตูล เขต2,192,พลังประชารัฐ,3,สุวัฒนา วิเลสูตร,TRUE,พปชร.,,,
A1602,สตูล เขต2,177,อนาคตใหม่,4,อรทัย ดงแสนสุข,TRUE,อ.น.ค.,,,
A1602,สตูล เขต2,063,ภูมิใจไทย,5,วินิต อ่างทอง,TRUE,ภท.,,,
A1602,สตูล เขต2,077,พรรคไทยรักษาชาติ,6,ไพโรจน์ อุดมรัตนานนท์,TRUE,ทษช.,,,
A1602,สตูล เขต2,145,เสรีรวมไทย,7,สุพัตรา อินธิจักร,TRUE,สร.,,,
A1602,สตูล เขต2,181,รวมพลังประชาชาติไทย,8,จิราภา ขาวนุ้ย,TRUE,รปช.,,,
A1701,อำนาจเจริญ เขต1,034,เพื่อไทย,1,วัชรินทร์ หม่องกระโทก,TRUE,พท.,,,
A1701,อำนาจเจริญ เขต1,001,ประชาธิปัตย์,2,กุลรัตน์ บุญเหลือง,TRUE,ปชป.,,,
A1701,อำนาจเจริญ เขต1,192,พลังประชารัฐ,3,สุประกิจ บุตตะเกิง,TRUE,พปชร.,,,
A1701,อำนาจเจริญ เขต1,177,อนาคตใหม่,4,เจมวิทย์ ธิปั๋น,TRUE,อ.น.ค.,,,
A1701,อำนาจเจริญ เขต1,063,ภูมิใจไทย,5,วันวิสา บุญเพ็ง,TRUE,ภท.,,,
A1701,อำนาจเจริญ เขต1,077,พรรคไทยรักษาชาติ,6,สราวุธ เกตแก้ว,TRUE,ทษช.,,,
A1701,อำนาจเจริญ เขต1,145,เสรีรวมไทย,7,สุรศักดิ์ พามี,TRUE,สร.,,,
A1701,อำนาจเจริญ เขต1,181,รวมพลังประชาชาติไทย,8,ฐยสพร แสงภู,TRUE,รปช.,,,
A1702,อำนาจเจริญ เขต2,034,เพื่อไทย,1,กฤษฎา รักชาติ,TRUE,พท.,,,
A1702,อำนาจเจริญ เขต2,001,ประชาธิปัตย์,2,จุฬากานต์ พงศ์อัมพรสกุล,TRUE,ปชป.,,,
A1702,อำนาจเจริญ เขต2,192,พลังประชารัฐ,3,ณัฏฐ์ ทองคำ,TRUE,พปชร.,,,
A1702,อำนาจเจริญ เขต2,177,อนาคตใหม่,4,ณัฐวุฒิ ลูมิงค์,TRUE,อ.น.ค.,,,
A1702,อำนาจเจริญ เขต2,063,ภูมิใจไทย,5,สุทธิชัย ฉุใจ,TRUE,ภท.,,,
A1702,อำนาจเจริญ เขต2,077,พรรคไทยรักษาชาติ,6,ชูตระกูล นาคคำ,TRUE,ทษช.,,,
A1702,อำนาจเจริญ เขต2,145,เสรีรวมไทย,7,อังคณา แก้วใหญ่,TRUE,สร.,,,
A1702,อำนาจเจริญ เขต2,181,รวมพลังประชาชาติไทย,8,ศุภชัย เพชตะกร,TRUE,รปช.,,,
A1801,อุตรดิตถ์ เขต1,034,เพื่อไทย,1,ธนพล เขียวขำ,TRUE,พท.,,,
A1801,อุตรดิตถ์ เขต1,001,ประชาธิปัตย์,2,คณิน อินทร์แก้ว,TRUE,ปชป.,,,
A1801,อุตรดิตถ์ เขต1,192,พลังประชารัฐ,3,องศา มุสิก,TRUE,พปชร.,,,
A1801,อุตรดิตถ์ เขต1,177,อนาคตใหม่,4,วลัยพันธ์ ทิพยรัตน์,TRUE,อ.น.ค.,,,
A1801,อุตรดิตถ์ เขต1,063,ภูมิใจไทย,5,เกศินี ภัทรสัตยากร,TRUE,ภท.,,,
A1801,อุตรดิตถ์ เขต1,077,พรรคไทยรักษาชาติ,6,ปัญญากร จำปานวน,TRUE,ทษช.,,,
A1801,อุตรดิตถ์ เขต1,145,เสรีรวมไทย,7,ณัฏฐชารี บ้านงาม,TRUE,สร.,,,
A1801,อุตรดิตถ์ เขต1,181,รวมพลังประชาชาติไทย,8,อุทุมพร กระออมแก้ว,TRUE,รปช.,,,
A1802,อุตรดิตถ์ เขต2,034,เพื่อไทย,1,เอกพงษ์ ปานมี,TRUE,พท.,,,
A1802,อุตรดิตถ์ เขต2,001,ประชาธิปัตย์,2,สุชาดา ช่วยนุรักษ์,TRUE,ปชป.,,,
A1802,อุตรดิตถ์ เขต2,192,พลังประชารัฐ,3,โดม ถนนทิพย์,TRUE,พปชร.,,,
A1802,อุตรดิตถ์ เขต2,177,อนาคตใหม่,4,ปณิดา วันเสือ,TRUE,อ.น.ค.,,,
A1802,อุตรดิตถ์ เขต2,063,ภูมิใจไทย,5,รัฐฤทธิ์ ยิ้มฟุ้งเฟื่อง,TRUE,ภท.,,,
